movie_id,title,cast,crew,id,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
,Special Police,,,823587.0,0.0,0.0,Released,2021-04-27,0.0,75.0,False,,0.0,,,zh,特警本色,"Special police brigade sniper Zhang Yuan and observer Hu Bing in a crackdown on armed robbers, hostage Li Xiang accidentally injured. In order to take better care of the injured and paralyzed Li Xiang, Zhang Yuan left the SWAT brigade and with the help of his girlfriend Su Qiu equipped Li Xiang with a brain-controlled drone and became a tacit partner with Li Xiang inside and outside. Three years later during a news investigation, the clues led Zhang Yuan to a factory. Unexpectedly, the plant concealed the production of ephedrine, the raw material for the drug manufacturing workshop, and former teammate Hu Bing became the head of this factory.",0.611,/e5xa2tFCGkjPf7EFcFhaNN6D90v.jpg,,"Action, Crime",,China,Mandarin,
,Female Tenant,,,823588.0,0.0,0.0,Released,2020-04-29,0.0,65.0,False,/hfnsbF31oNmZy0IO3vakKAM1WA1.jpg,0.0,,,zh,女房客,"Ma Daocheng, a poor but extremely hard-working actor, returned to his rental house to take a bath and go to bed after a tiring day. When he walked into the rental house, he found that a stubborn and unreasonable girl came to the house. The beautiful girl asked to live here in the future. What kind of story will happen to the two people under the same roof, and what motives does this girl have?",0.6,/3vLvL1tB613aBS8eRrgkoenBiBm.jpg,,"Drama, Romance",,China,Mandarin,
,India'sMost Wanted,,,823589.0,0.0,0.0,Released,,0.0,0.0,True,,0.0,,,en,India'sMost Wanted,A group of five intelligence officers take on one of India's biggest top-secret missions of capturing the world's most wanted terrorists.,0.6,,,,,,,
,A Crooked Hit,,,823590.0,0.0,0.0,Released,2021-04-27,0.0,75.0,False,/uaHDks4NpEOj73QwY2MwuC8ZQES.jpg,0.0,,,zh,歪打正着,"Zhao Dachuang, a film worker with a dream of making films, received an invitation from a mysterious investor to be a producer for a film. Zhao is overjoyed and immediately puts together a messy film crew. But after the film starts, the prop warehouse is burgled in the middle of the night and Zhao finds out that the thief is the female lead Xiao Jing. She tells Zhao that the real purpose of the mysterious capitalist is to use the filming as a pretext to transport the three artifacts stolen from the museum, while she infiltrates the set to track down the culprit and recover the artifacts. A simple filming turns into a game of cat and mouse. Zhao Dachuang and Xiao Jing team up to fight with the prop master.",0.861,/jea8OPG0pC8eKTlhohQ16vGGhTR.jpg,,Comedy,,China,Mandarin,
,Ice/Sea,,,270020.0,0.0,0.0,Released,2005-06-19,0.0,32.0,False,/yxAcTOkP3PJuvsswLE6zzIVAorl.jpg,0.0,http://www.vivianostrovsky.com/item/icesea/#page-1,tt0477980,en,Ice/Sea,"Funny collage of sea, sun and ice. A show from the beach with skiers, tigers, mermaids and much more.",0.6,/kbLv9KZpHCvOqB9R7w7OEwQXJBC.jpg,,Documentary,Jet Lag Productions,"France, Israel, United States of America",,woman director
,Legal Hash,,,823595.0,0.0,0.0,Released,,0.0,103.0,False,/7FhgMeOMA8qtE6CKym0tgfjEieI.jpg,0.0,,,ar,Legal Hash,"After a failed heist leads to a stint behind bars, a group of men reenters society with a risky business plan that soon reveals their true colors.",0.876,/nXKAFXR0ihVXjjF8xly6WQkdgez.jpg,,"Crime, Comedy",,,Amharic,
,The Blind and the Cardinal,,,823596.0,0.0,0.0,Released,2016-11-01,0.0,19.0,False,,0.0,,tt6778992,fr,L'aveugle et la Cardinale,Thomas is seduced by Julie and tells her stories in which he was involved or that he witnessed. All of them pose the question of what links and binds us to each other. But are we capable of perceiving this singular and poetic mystery?,0.6,/AgZwpGatkXXtJyqWJoSVbzy7KZm.jpg,,Drama,Les films de l’heure bleue,France,French,
,The Goldfinger,,,823598.0,0.0,0.0,Post Production,2023-12-30,0.0,0.0,False,/lNw8NgBcMFKWTLTwHqPs1Ll4hIy.jpg,45000000.0,,tt14099796,cn,金手指,"In 1970s Hong Kong, the Independent Commission Against Corruption (ICAC) was formed to bring down the corruption syndicate led by British government officials. One of its top investigators is Senior Investigator Lau Kai-Yuen, who brought down countless corrupted officials. Just as he thought stability and prosperity are within reach, a new era of greed and riches takes him into a new battlefield of corruption.",3.443,/5N9bbGmSn1BwJy6V5z6TTx2wsMZ.jpg,,"Crime, Drama","Emperor Motion Pictures, Tianjin Maoyan Weying Media","China, Hong Kong",Cantonese,
,"Bitter, Sweet, Seoul",,,270017.0,0.0,0.0,Released,2014-02-10,0.0,63.0,False,/lLmrxaA5pq6pWEpYx4LFbqVl1Wf.jpg,0.0,,tt3696234,ko,고진감래,"Over 98 days from August 20th to November 25th 2013, 2821 people from around the world sent 11,852 video featuring many different faces of Seoul. 154 were selected, edited, and made into a movie.",0.979,/j0VSm71gcHGoHPqHJKjKGfBVlG9.jpg,,Documentary,Moho Film,South Korea,"English, Korean","seoul, south korea"
,"Ha-Ha, Many Mammals, Leary, Jane's Fall",,,270013.0,0.0,0.0,Released,1980-05-15,0.0,13.0,False,,0.0,http://vimeo.com/21112635,,en,"Ha-Ha, Many Mammals, Leary, Jane's Fall",13 minute video art piece by Phil Morton.,0.6,,,,Copy-It-Right,United States of America,,
,Son of Man,,,270000.0,0.0,0.0,Released,1969-04-16,0.0,90.0,False,,0.0,,tt0065017,en,Son of Man,"Dennis Potter's controversial reading of the life of Christ, with Jesus portrayed as a hearty, fiery, well-meaning carpenter who believes that people should try to love their enemies rather than fight all the time, but who is racked by self doubt as to whether or not he is the popularly anticipated Messiah.",1.179,,,Drama,BBC,United Kingdom,,
,Le temps des doryphores,,,823603.0,0.0,0.0,Released,1967-11-08,0.0,95.0,False,,0.0,,tt0238657,fr,Le temps des doryphores,"In 1940, harmful insects, the Colorado potato beetle, invaded the territory of a disoriented France, forced to face the German invasion. Thanks to archives shot under German control, we discover the daily life of the French, a daily life of material misery... Between the lines, we can see what the images wanted to conceal.",0.6,/891cJ1WD2qIlvzsSVB8WEKzVUr5.jpg,,,,,French,
,Kryštof,,,823604.0,0.0,0.0,Released,2021-10-21,0.0,0.0,False,/a1zk4RIfw7aH3LXELg6fGSPmsSR.jpg,0.0,,tt15440452,cs,Kryštof,,0.87,/wV1fR6LppQiSG9nFOA7GlzhKMn9.jpg,,Drama,,"Czech Republic, Slovakia",Czech,
,Noria,,,823605.0,0.0,0.0,Released,2019-01-01,0.0,0.0,False,,0.0,,,fr,Noria,,0.6,/gj89wnjK1xTDhFngu0ZrBPz7UeX.jpg,,Documentary,Association Noria,France,French,"automobile, voyage"
,Maarten van Roozendaal: Barmhart,,,823607.0,0.0,0.0,Released,2008-02-01,0.0,84.0,False,,0.0,,,nl,Maarten van Roozendaal: Barmhart,"This theatre performance is built around the 'seven corporal works of mercy'. Comedian Maarten van Roozendaal tells and sings about life, death, love, spring and bears. He is accompanied by Egon Kracht on double bass and Marcel de Groot on guitar.",0.6,/o5IBOya7tZubS2jQCEkwWoFC8Yf.jpg,,"Comedy, Music",KIK Theaterproducties,Netherlands,Dutch,
,Tráfico de Fêmeas,,,270012.0,0.0,0.0,Released,1978-12-31,0.0,92.0,False,,0.0,,tt0451948,pt,Tráfico de Fêmeas,A pimp enslaves and traffics women.,0.6,,,Crime,,Brazil,Portuguese,
,Just Your Luck,,,270006.0,0.0,0.0,Released,1972-12-04,0.0,64.0,False,,0.0,,tt0068788,en,Just Your Luck,"When Alison unexpectedly falls pregnant after a brief encounter with Alex (David Hayman's first TV role) they decide to marry. The joining of two seemingly different families opens into a witty and audacious tale, which caused uproar after its first broadcast in 1972. An early triumph for Peter McDougall, when it was proclaimed the most exciting writing debut since John Osborne's Look Back in Anger.",0.779,,,"Drama, Comedy",BBC,United Kingdom,,
,Savithri's Night,,,823611.0,0.0,0.0,Released,1997-08-29,0.0,82.0,False,,0.0,,,si,Savithrige Rathriya - සාවිත්‍රිගේ රාත්‍රිය,Savithri's Night (Savithrige Rathriya) is the 863rd movie in Sri Lankan film industry.,0.6,/23yKIoSlhkQqi4G1Te5VezsAchZ.jpg,,Romance,,Sri Lanka,Sinhalese,
,Cock Please,,,823613.0,0.0,0.0,Released,2020-06-01,0.0,126.0,True,/cmEJL5VGAYkrQR1ceY3FFAnGGbr.jpg,0.0,,,en,Cock Please,"Enjoy some of the hottest, sexiest women needing a good fucking they won't ever forget. This is pure hardcore XXX action that is truly timeless!",0.6,/7DXE8EE6YsgEYAuP418YRFkVgzF.jpg,,,DDF,,,
,Maarten van Roozendaal: Het Wilde Westen,,,823614.0,0.0,0.0,Released,2009-08-04,0.0,86.0,False,,0.0,,,nl,Maarten van Roozendaal: Het Wilde Westen,"In this theatre show Maarten van Roozendaal, double bassist Egon Kracht and guitarist Marcel de Groot ""celebrate"" the ""achievements"" of Western civilization. However, the ambitious pursuit of wealth, happiness and freedom also appears to have a downside.",0.6,/8NkWJ1TJbnZbIljjDtIOd1UJsPE.jpg,,"Music, Comedy",KIK Theaterproducties,Netherlands,Dutch,
,London Grammar: Californian Soil - The Live Show,,,823615.0,0.0,0.0,Released,2021-04-18,0.0,55.0,False,,0.0,,,en,London Grammar: Californian Soil - The Live Show,London Grammar: Californian Soil - The Live Show,0.61,/swC7IEUgdBLnsWXdrGttdt3BeDm.jpg,,Music,,,,
,Middle World,,,823616.0,0.0,0.0,Released,1993-01-01,0.0,135.0,False,,0.0,,,ru,Орто дойду,"The first full-length Yakut film. A film that tells in a documentary and game form about the rituals, customs, beliefs, life and lifestyle of the Sakhi people. The director recreated on the screen the ancient rituals of the life cycle, almost forgotten by the current Sakha.",0.6,/b8whk25jCSDcR1XNF66Qf6KlnIN.jpg,,Documentary,,,Russian,
,Tide Brand Uncle,,,823584.0,0.0,0.0,Released,2021-02-01,0.0,65.0,False,,0.0,,,zh,潮牌大叔,,0.6,/a7BYKjQq5B2chU3SbNUCYxZSJbx.jpg,,"Drama, Comedy",,China,Mandarin,
,The Cellar,,,823583.0,0.0,0.0,Released,2016-04-25,0.0,10.0,False,,0.0,,tt11079158,pl,Piwnica,"An animation, based on Szczepan Twardoch's screenplay ""In the Cellar"" and Aleksandra Waliszewska's paintings.",0.6,/mcVbZbb0O4utqUacybORTw72i30.jpg,,,,,"English, Polish",
,The Great Tang's Crime Squad,,,823582.0,0.0,0.0,Released,2021-02-09,0.0,72.0,False,,0.0,,,zh,大唐重案组,,0.6,/8YodQzLQa5dF82oup3JfFDvCcD5.jpg,,"Action, Mystery",,China,Mandarin,
,少年名捕,,,823581.0,0.0,0.0,Released,2021-02-08,0.0,0.0,False,,0.0,,,zh,少年名捕,,0.6,/30fV1qSJFjnl1pVrVGntdZk9gtc.jpg,,Drama,,China,Mandarin,
,Boku no Sukina Sensei,,,823549.0,0.0,0.0,Released,2019-03-23,0.0,85.0,False,/8rrnCpQJCaLtKLcVnaTb3klXwc7.jpg,0.0,https://www.sukinasensei.com/,,ja,ぼくの好きな先生,"Documentary film about Takumi Sejima.  While teaching students at Tohoku University of Art and Design in Yamagata, the painter Takumi Sejima traveled all over Japan to continue his creative activities, always making something except when he was asleep, skipping radio-controlled models, and constantly speaking. He has been painting for 30 years with the same title ""RUNNER"".",1.4,/cplraA9zqHfdGPoOXNiSVzAc6Zn.jpg,,,,Japan,Japanese,
,Allo Madame Cougar?,,,823550.0,0.0,0.0,Released,2020-01-01,0.0,96.0,True,,0.0,,,fr,Allo Madame Cougar?,"""I like getting fucked by guys 20 years younger than me, licking their balls and using their cum to soften my skin""",0.6,/wgbPZ0PqDtMJXoJnAjL2KAWQv8B.jpg,,,HPG Production,,,
,dry idea,,,823551.0,0.0,0.0,Released,2007-01-01,0.0,2.0,False,,0.0,https://www.videoout.ca/catalog/dry-idea,,en,dry idea,Lubricants are an essential part of modern machinery.,0.6,/8p5zL91wgB2LPGjBXVSVqhdODex.jpg,,,,Canada,,
,Broken Hearts,,,823552.0,0.0,0.0,Released,2014-02-11,0.0,183.0,False,,0.0,,tt5872692,mt,Qlub Imwegggha,An emotional story of a man who rediscovers love after his wife suddenly and mysteriously leaves him. The plot further develops an intriguing insight into their separate lives leaving viewers at the edge of their seat until the very end.,0.6,/1tjmn4thb9MT6QGIbQmtFCXdJlU.jpg,A Love Story Betrayal Emotional,"Drama, Mystery, Romance, Thriller",,Malta,Maltese,
,Cycles #3,,,823553.0,0.0,0.0,Released,2003-01-01,0.0,7.0,False,,0.0,,,xx,Cycles #3,"This is a live projection event for two 16mm projectors and two loudspeakers. The material in Cycles (1972/77) is recycled for two screens and two soundtracks, with one screen set inside another, giving rise to a surprising induced colours and rhythmic patterns.",0.6,/pYmVCsVEEDnsvyqQBzDjC3DZxkL.jpg,,,,,No Language,
,The two of us,,,823555.0,0.0,0.0,Released,1930-09-18,0.0,96.0,False,,0.0,,tt0021518,sv,Vi två,"Widower Robert Rossiter lives in New York with his two teenage children. When he visits a fashion house one day, he falls in love with the store clerk Joyce Roamer.",0.933,/uNgxI6llRvzMnefeaoiSA50lcbO.jpg,,Drama,Les Studios Paramount,Sweden,Swedish,
,Monster Class: Halloween,,,823557.0,0.0,0.0,Released,2020-10-06,0.0,77.0,False,,0.0,,tt12969446,en,Monster Class: Halloween,"The Lil’ Monsters enjoy a frightfully exciting adventure, when their new teacher, the famous Count Dracula, gives the class a lesson about Halloween.",0.6,/j3yOVUi91SJTtZ9vDBJ9PEObUf2.jpg,Get Wrapped Up In Learning!,,,,,
,Space Nuns,,,823558.0,0.0,0.0,Released,1995-11-05,0.0,10.0,False,,0.0,,tt0114507,en,Space Nuns,"Kate has always wanted to fly in space, and when the Vatican announces plans to send catholicism to the stars she signs up. Her motivation however falls somewhat short of purely evangelical, and the mission fails to proceed exactly according to (divine?) plan.",0.6,/sPybeZ7vbcCJb8dJonUQXggg1sx.jpg,,Comedy,,,,
,Marin's Dreams,,,823559.0,0.0,0.0,Released,2021-04-22,0.0,8.0,False,,0.0,,,en,Marin's Dreams,"Marin Dram, granddaughter of recently missing Omega Mart CEO Walter Dram, has disappeared. But her dreams were left behind, revealing portals, aliens, and bisexual angst caught in a mirror beside her bed. Like many teenage girls, Marin has a difficult relationship with her overbearing mother Cecelia Dram, newly minted Dramcorp CEO. But unlike her mother, Marin has supernatural abilities – and they’re calling her. She just wanted to be normal, but normal was not an option.",0.6,/mfCv4YjUpQrw6k3ZdkQirAWGYR6.jpg,,,,,,
,BlacKorea,,,823561.0,0.0,0.0,Released,2017-07-07,0.0,22.0,False,,0.0,,tt6696502,en,BlacKorea,"The story is set in the late 1980s in Chicago. Two children, born to a Korean mother and African-American father, are forced to live with the tangled consequences of their parents' decisions while struggling to traverse a new life in the Windy City.",0.6,/aFzz6FfRqQJKXca7j12mRWxsq7P.jpg,The Drop Off,Drama,,United States of America,"English, Korean",
,Monster Class,,,823562.0,0.0,0.0,Released,2020-07-07,0.0,71.0,False,,0.0,,,en,Monster Class,"With the notorious Count Dracula as head of the class, the tiny monsters get spooktacular lessons on Frankenstein, the Mummy, werewolves, and zombies!",0.6,/rc3McJDN149YnauhDpwBTRe9cNR.jpg,"Little Monsters, Big Brains!",Animation,,,,
,Vals & Rumba,,,823563.0,0.0,0.0,Released,2021-04-23,0.0,6.0,False,/9pFPacDJpl6poFDHSSQYCnnrdJW.jpg,0.0,,,es,Vals & Rumba,A statue that dreams and a very special robot cleaner that works in the museum.,0.6,/iQofL5fGS1VgjnzDWbNocLzEjLu.jpg,,Animation,Notenemosnombre,Spain,No Language,"dream, museum, robot, ballerina, statue, short film"
,The Story of 'Are You Being Served?',,,270036.0,0.0,0.0,Released,2010-01-01,0.0,60.0,False,/yqEHoXWWjeYwfaIi99eLAcMCXM6.jpg,0.0,,tt1577882,en,The Story of 'Are You Being Served?',The Story of 'Are You Being Served?',0.6,/teybGHeXL5unsmtuoP731ygXPEw.jpg,Are you being served?,Documentary,,,,
,Knockout,,,823565.0,0.0,0.0,Released,2007-05-15,0.0,53.0,False,/4nj6khBAEaYIoc8GyW3bpMo0WYY.jpg,0.0,,,zh,下一秒．無限,,0.6,/3vJMKqupI4VN7F6TdvOyKPdBIEv.jpg,,Documentary,,,Mandarin,
,Colony of the Dark,,,270035.0,0.0,0.0,Released,1995-01-01,0.0,83.0,False,,0.0,,,en,Colony of the Dark,"All hell breaks loose when Jim Mathews gets doused with an experimental serum at the genetic design firm he works at. Mathew s wife, whom works for the same firm, catches him cheating on her and exacts revenge by throwing the serum directly in his face. The serum causes Mathews limbs to fall off his body and form a colony of bloodthirsty creatures. Mathews also has an unquenchable hunger for hot young girls and stalks them in the dark cover of night to feed his colony. Don t be afraid of the Colony of the Dark, a blood soaked gritty creature feature.",0.6,,Don't Be Afraid Of...,"Horror, Science Fiction",,,,
,Ignition,,,823568.0,0.0,0.0,Released,2021-04-23,0.0,14.0,False,/2d10MFVStOrOLC4nzX1bHkZXwTY.jpg,0.0,,tt12850834,es,Ignición,"In the midst of a climate of political repression, Ernesto is a student who believes that the ""revolution"" will only begin if there is a martyr for the cause; Isaac, his best friend and his student leader, seems like the ideal candidate.",1.361,/oCLHud63nerq5PA1Z9nL1lsjUnz.jpg,Moral superiority causes revolutions of guilt.,Drama,,Mexico,Spanish,"students' movement, revolution, betrayal, social movement, short film"
,Human's Music,,,823569.0,0.0,0.0,Released,2017-05-19,0.0,83.0,False,,0.0,,,en,Human's Music,"The idea with HUMAN was to create songs that would reflect the same emotion generated by the interviews. I wanted things to open up, to open up one’s heart, to let the sadness be without any restraint. HUMAN has been one of these rare moments in my life as a film composer during which I could express all these different cultures at the same time : either working on minimalist songs or meeting with these singers and musicians coming from all around the world. Which note did I first produce ? I had more like a global vision in mind, an atmosphere that would merge into the film and that would bring people together, this was my starting point. The part I created for the Mongolian sequence might be the best summary of the atmosphere I wanted the film to have",0.6,/ehCyIbvq6PG8LHYUoPaXJyqbokv.jpg,"I am deeply taken with traditional music, it moves me, it connects you to emotion.",,,,,
,The Outsiders,,,823570.0,0.0,0.0,Released,2005-01-01,0.0,6.0,False,,0.0,https://jsaragosa.de/projects/the-outsiders/,,en,The Outsiders,"A short retelling of Coppola's classic, ""The Outsiders"" is a music-video style lesbian interpretation of greaser masculinity.",0.6,/5nzS9PJ9UUjMawv7rHkRb7BdaiB.jpg,,"Drama, Music",,Canada,,
,Wolf Lake,,,823572.0,0.0,0.0,Released,2006-01-01,0.0,5.0,False,,0.0,https://www.michaelvsmith.com/films/,,en,Wolf Lake,"In a dramatized narrative written and told by Canadian poet Elizabeth Bachinsky, a young woman speaks of her ordeal at Wolf Lake. The Coast Mountains of British Columbia make a lush backdrop to her harrowing story of violence and betrayal.",0.6,/rjzZzpW1GQVjfMx87VkKhZzOyQv.jpg,,Drama,loup productions,Canada,,
,Film Scroll,,,823574.0,0.0,0.0,Released,2004-01-01,0.0,5.0,False,,0.0,https://jsaragosa.de/projects/film-scroll-perf/,,en,Film Scroll,"This Super 8 film was first presented as part of a ritual performance where Saragosa is naked and pulls a white piece of fabric out of her ""yoni"", pinning it up and projecting the film onto it in reverse, while speaking the words on the film. The performance was part of a collective recreation of Carolee Schneemann’s ‘Interior Scroll.’",0.6,/xrMRHvlQltuaIER4cPcC6DplCkd.jpg,,,,Canada,,
,Washington Heights Untitled,,,823576.0,0.0,0.0,Released,1998-01-01,0.0,4.0,False,,0.0,https://www.vtape.org/video?vi=4202,,en,Washington Heights Untitled,"Originally made for ""Illicit Acts"", a program curated by Stephen Kent Jusick for New York MIX Festival 1998, Washington Heights Untitled is a short experimental documentary on the local community where the artist is residing. Under the administration of New York City Mayor Guiliani, blockades were set up by the NYPD in many blocks to prevent drug trafficking. Capturing the essence of the Dominican neighborhood, the video documents and comments on the changes in the community and the horror of possibly becoming a ""police state"".",0.6,/f2g6ZECdKQfMW2h1rc5qnMRrjxM.jpg,,Documentary,,United States of America,,
,How I Became a Partisan,,,823577.0,0.0,0.0,Released,2021-08-26,0.0,92.0,False,/jHkowCmpc7at2d3oLxeC3zBgNK5.jpg,0.0,https://www.filmpartizanka.eu/en/about-film/,tt15539332,sk,Ako som sa stala partizánkou,"This documentary film reveals how the lives of the descendants of a partisan fighter in the Second World War are still impacted by the events of that period, 75 years after the end of hostilities. In making her case, Lacková provides glimpses into her private surroundings. Over the course of her film, she also points out frightening parallels between the reign of the Nazi terror regime and the resurgence of racist currents throughout today's Europe.",0.6,/1tQIgKlk98LXyaAMplX8dchzbRx.jpg,Cinematic Resistance Against Oblivion,Documentary,"Media Voice, Film & Sociologie, RTVS, Česká televize","Czech Republic, Slovakia","Czech, German, Slovak",
,Eyewitness DVD: Insect,,,270026.0,0.0,0.0,Released,2006-11-20,0.0,29.0,False,,0.0,,,en,Eyewitness DVD: Insect,"How do insect wings work? Just how big can a bug grow? Insects are older than the dinosaurs, and outnumber people 250 million to one, but their contribution to our lives often goes unnoticed. We explore the wonders of creepie-crawlies through startling macro photography and 3D graphics and reveal the true importance of these amazing, industrious creatures.",0.6,,,,,,,
,Map,,,823617.0,0.0,0.0,Released,1986-01-01,0.0,20.0,False,,0.0,,,ru,Мааппа,"A person can search for his ideal all his life, the only one that is destined for him by fate itself. But these searches do not always have a happy ending, sometimes they end dramatically.  Diploma short film of the director, the first film made in the Yakut language",0.6,/9B53NUyVpQpIbVE4HZR1h431A2V.jpg,,Horror,,,Russian,
,Life,,,823619.0,0.0,0.0,Released,1984-01-01,0.0,10.0,False,,0.0,,,ru,Жизнь,"Humanity does not learn from its mistakes, every time a situation of survival arises, people act selfishly, and are ready to bite their throats, and only when an incorrigible disaster occurs, they realize the perniciousness of their act. And in the story, two people meet in the desert, an Asian and an Eurasian, each going their own way and looking for something different. But they enter into a conflict over a water skin, and while they are fighting, the water flows out and only then they realize that they could share. And now they were both without water.",0.6,,,Drama,,,Russian,
,Be The World For Her,,,823684.0,0.0,0.0,Released,2005-12-14,0.0,96.0,False,,0.0,,tt0491141,ja,世界は彼女のためにある,Love story between a cloned boy and bullied high school girl.,0.6,/9n7CXpELVjzSbBmtyeuLnD2JqU2.jpg,,"Science Fiction, Romance",Eiga Bi Gakkô,Japan,Japanese,
,Sauts périlleux en long,,,823669.0,0.0,0.0,Released,1899-07-14,0.0,0.0,False,,0.0,,,fr,Sauts périlleux en long,,0.6,/neRIh1tCkRddlHC5QEd49VTWEKg.jpg,,,,France,,
,In Love Again,,,269984.0,0.0,0.0,Released,1969-01-01,0.0,0.0,False,,0.0,,tt0415869,en,In Love Again,"AMG auteur Richard Fontaine started making short, silent posing-pouch snapshot films in the mid-1950s and moved on to sound titles like In the Days of Greek Gods (1958) and Muscles from Outer Space (1962), which featured narratives as well as nudity.  Fontaine's films are among the first gay-campaigning documents in American cinema--he often managed to include references to the lowly status of the homosexual. His first feature-length erotic film, In Love Again, is more like propaganda than porn. (from: http://www.glbtq.com/arts/film,3.html)",0.6,,,"Drama, Romance",,United States of America,English,"lgbt, gay theme"
,LT,,,823658.0,0.0,0.0,Released,,0.0,60.0,False,,0.0,,,en,LT,Lawrence Taylor documentary,0.6,/5YiPKjkrcgFwIHjXJ8cSsKv6w8w.jpg,,,,,,
,I Am Curious Gay,,,269983.0,0.0,0.0,Released,1970-03-01,0.0,90.0,False,,0.0,,tt0219088,en,I Am Curious Gay,"On his 21st birthday, Davy wanders into a gay bar and meets the man of his dreams.",0.6,,,Drama,,United States of America,English,"birthday, lgbt, birthday boy, gay theme"
,Owls v Blades 1993,,,823660.0,0.0,0.0,Released,,0.0,0.0,False,,0.0,,,en,Owls v Blades 1993,FA Cup semi final 1993 between the two Sheffield giants,0.6,/5S3SPDtRFUVidGlnoPNYVoHacXZ.jpg,,,,,,
,Spring Guests,,,823661.0,0.0,0.0,Released,1949-01-01,0.0,12.0,False,,0.0,,tt0781030,en,Gazapkhulis stumrebi,A short film about respecting and preserving nature.,0.6,,,Animation,,Soviet Union,,
,Agostinho da Silva - A Living Thought,,,269980.0,0.0,0.0,Released,2003-01-01,0.0,94.0,False,,0.0,,tt10653314,pt,Agostinho da Silva - Um Pensamento Vivo,"Life and legacy of Agostinho da Silva.  Traversing the biographical journey, the life and work of the Luso-Brazilian philosopher, this work has testimonies from himself and various personalities of Portugal and Brazil that allow us to unravel his personality and multifaceted thought.",0.814,/3jGG5EJJxZaSAmc6TQXgX5FDq4n.jpg,,Documentary,Alfândega Filmes,"Portugal, Brazil",Portuguese,
,Dentro,,,269979.0,0.0,0.0,Released,2001-01-01,0.0,255.0,False,,0.0,,tt10521468,pt,Dentro,"Porto 2001 project, made in the prison of Paços de Ferreira. Nuno Cardoso, the play director, develops this work with the prisoners during the time period of one year.  Documentation of the process: conversations with the prisoners in the context of the process of artistic creation and the theater project. Interviews and testimonials with various people who cross their experiences, their view of life and their life behind bars, with the development of the play.",0.6,/s1sM9w4EkkkivByvWxjPmg7aOgp.jpg,,Documentary,Porto 2001 Capital Europeia da Cultura,Portugal,Portuguese,
,Rumbelows Cup Final 1990,,,823664.0,0.0,0.0,Released,,0.0,0.0,False,,0.0,,,en,Rumbelows Cup Final 1990,Highlights of the Rumbelows Cup Final between Sheff Wed and Man Utd,0.6,/95y2Me6MqeUC0lShZA8I3JAF21T.jpg,,,,,,
,Octavia's Visions,,,823665.0,0.0,0.0,Released,2021-05-01,0.0,18.0,False,,0.0,,tt16359156,en,Octavia's Visions,"Using poetic visual language, OCTAVIA’S VISIONS interweaves Butler’s worlds with contemporary issues of environmental degradation, far right extremism, and social liberation. The poetic piece expresses a queer utopian imaginary, a longing to create out of the old something new.",0.6,/1Rb2UvjeKD4tTshK7i48YGekfwB.jpg,"OCTAVIA’S VISIONS is inspired by the Parables of the African-American futurist author Octavia E. Butler, who died in 2006.",,,Germany,,
,Marquinhos Gomes se apresentou no Estúdio Showlivre,,,823666.0,0.0,0.0,Released,2021-04-28,0.0,0.0,False,,0.0,,,pt,Marquinhos Gomes se apresentou no Estúdio Showlivre,,0.6,/icuB6BaNMwDT5vouL28igdK8lc8.jpg,,,,Brazil,,
,Tommy e Oscar,,,823668.0,0.0,0.0,Released,2008-01-01,0.0,0.0,False,,0.0,,,it,Tommy e Oscar,,0.6,/1J6sjsZzJIdnoZK3VwMQ7WGwq5B.jpg,,,"Rainbow, RAI",,Italian,
,Passage d'un tunnel en chemin de fer (pris de l'arrière du train),,,823670.0,0.0,0.0,Released,1898-05-29,0.0,0.0,False,,0.0,,,fr,Passage d'un tunnel en chemin de fer (pris de l'arrière du train),,0.6,,,,,France,No Language,
,Ride in Progress,,,823620.0,0.0,0.0,Released,2020-01-22,0.0,11.0,False,,0.0,https://rideinprogress.weebly.com/,tt11478118,en,Ride in Progress,"When the kind-hearted, semi-nerdy, and always-prepared Sarah gets blindsided by a breakup, she finds herself utterly alone, having spent the past four years neglecting every relationship other than the one with her loser boyfriend. She reaches out to the only person she can think of, her messy-but-loveable friend Megan and, together, they embark upon the post-breakup Uber trip of a lifetime.",0.6,/dymuU1G6T6bRHRgu1p3BelaWM5E.jpg,,Comedy,,,English,
,Danse tarentelle à Sorrente,,,823671.0,0.0,0.0,Released,1898-03-27,0.0,0.0,False,,0.0,,,fr,Danse tarentelle à Sorrente,,0.6,,,,,France,No Language,
,"Cinghalais: danse des couteaux, I",,,823672.0,0.0,0.0,Released,1897-09-01,0.0,0.0,False,,0.0,,,fr,"Cinghalais: danse des couteaux, I",,0.6,/oFH0PkwWxo2bx6TTH1e8XfwfnPQ.jpg,,Documentary,,France,No Language,
,AFC Bournemouth 2018/19 Season Review,,,823675.0,0.0,0.0,Released,,0.0,0.0,False,,0.0,,,en,AFC Bournemouth 2018/19 Season Review,Highlights of the Cherries 2018/19 PL campaign,0.6,/xWNohxRIv4TbfjJDZPXrko7D3BK.jpg,,,,,,
